Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z,Compass X,Compass Y,Compass Z,Lidar,Temperature,Time
-3,32,-263,-70,67,27,176,219,-22,51,24.03,257
-8,31,-265,-72,68,18,175,219,-15,54,24.03,344
1,36,-260,-74,70,36,181,222,-19,54,23.99,430
-13,26,-261,-73,66,12,175,221,-17,53,24.03,517
-6,32,-266,-72,67,39,178,219,-17,54,23.97,603
-3,33,-263,-72,67,20,180,222,-15,52,23.93,689
-4,30,-263,-72,68,26,179,221,-18,54,23.87,776
-2,32,-263,-71,68,32,182,221,-20,51,24.03,862
-4,31,-263,-73,67,17,181,223,-16,54,23.97,949
-2,32,-262,-71,68,35,180,223,-14,55,23.87,1035
-3,31,-261,-73,68,21,180,223,-20,52,23.87,1122
-5,32,-263,-72,68,27,183,222,-19,53,23.87,1208
-1,32,-262,-71,67,30,181,222,-20,54,23.79,1295
-30,-11,-247,-72,68,20,188,219,-22,52,23.93,1381
-57,168,-273,-71,68,31,176,272,-22,53,24.03,1468
-6,35,-269,-73,68,21,182,312,31,55,23.85,1554
2,19,-260,-72,67,30,198,215,-24,52,23.87,1641
8,32,-263,-71,67,26,194,279,-19,54,23.81,1727
-6,42,-264,-71,68,23,179,298,-11,54,23.81,1814
-4,32,-262,-72,67,33,179,222,-20,54,23.91,1900
-2,31,-263,-73,68,20,183,222,-19,54,23.91,1986
-4,31,-261,-72,67,28,185,223,-18,54,23.85,2073
-2,31,-262,-72,67,29,182,223,-18,52,23.75,2159
-6,32,-263,-73,68,21,185,222,-18,51,23.87,2246
-3,31,-263,-71,67,32,181,223,-19,55,23.87,2332
-3,32,-262,-72,68,22,182,222,-20,53,23.81,2419
-5,31,-260,-71,67,27,181,223,-20,54,23.79,2505
-1,31,-264,-71,66,28,183,227,-17,51,23.79,2592
-4,31,-265,-72,68,22,182,223,-15,54,23.87,2678
-3,32,-261,-72,68,30,182,225,-18,49,23.79,2765
-4,32,-262,-72,68,23,180,224,-16,55,23.87,2851
-3,30,-262,-72,67,27,181,222,-17,53,23.81,2938
-2,31,-263,-72,68,27,171,262,-15,53,23.81,3024
4,-56,-253,-72,67,23,188,219,-26,52,23.87,3111
-12,59,-271,-72,67,30,172,215,-17,52,23.85,3197
-2,32,-262,-71,67,24,160,326,-19,52,23.75,3284
-32,-3,-253,-72,68,26,193,239,-17,55,23.75,3371
4,54,-264,-72,67,28,181,211,-18,54,23.79,3458
-3,71,-266,-72,67,23,185,222,-21,52,23.65,3544
-36,-41,-241,-71,67,26,196,222,-18,55,23.79,3631
12,8,-262,-72,67,31,196,215,-18,53,23.85,3717
-6,30,-261,-72,67,18,182,222,-18,55,23.85,3803
-4,31,-261,-72,67,34,184,223,-21,53,23.97,3890
-2,32,-260,-73,68,22,184,222,-18,54,23.79,3976
-4,32,-263,-72,67,25,183,223,-16,52,23.79,4063
-3,33,-263,-71,67,31,183,222,-20,55,23.87,4149
-5,33,-261,-72,67,20,181,223,-20,56,23.91,4236
-5,31,-264,-72,67,32,182,223,-19,53,23.91,4322
-2,32,-262,-72,67,23,183,225,-20,55,23.81,4409
-4,31,-261,-71,67,26,183,222,-15,53,23.91,4495
-4,32,-263,-72,67,30,179,224,-18,51,23.91,4582
-3,32,-263,-72,68,21,179,223,-18,52,23.75,4668
-6,32,-263,-71,67,31,185,221,-24,52,23.75,4755
-4,3,-259,-72,67,23,175,229,83,55,23.75,4841
-29,-70,-233,-71,67,28,181,212,-23,56,23.81,4928
-25,99,-271,-72,67,26,162,310,-27,53,23.69,5014
15,-121,-238,-72,68,25,192,219,-21,52,23.75,5101
-4,32,-261,-72,67,30,184,222,-17,51,23.91,5187
-5,31,-263,-73,67,22,181,223,-21,53,23.87,5274
-4,31,-262,-72,67,30,182,224,-19,52,23.71,5360
-3,32,-262,-72,68,25,182,223,-19,54,23.75,5447
-5,31,-262,-72,67,26,183,221,-21,56,23.75,5533
-4,33,-262,-72,67,29,186,223,-19,54,23.75,5619
-4,32,-260,-73,68,23,181,222,-19,54,23.79,5706
